airline,arr_year,total_arrivals
Allegiant Air,2018,906
Allegiant Air,2019,840
Allegiant Air,2020,729
Allegiant Air,2021,928
Allegiant Air,2022,753
American Airlines,2018,28
American Airlines,2019,845
American Airlines,2020,172
American Airlines,2021,143
American Airlines,2022,699
CitiJet,2018,3470
CitiJet,2019,6231
CitiJet,2020,4433
CitiJet,2021,5275
CitiJet,2022,3909
Delta Airlines,2018,2817
Delta Airlines,2019,2791
Delta Airlines,2020,1584
Delta Airlines,2021,1653
Delta Airlines,2022,1989
Envoy Air (American Eagle),2018,568
Envoy Air (American Eagle),2019,1102
Envoy Air (American Eagle),2020,550
Envoy Air (American Eagle),2021,1097
Envoy Air (American Eagle),2022,1138
Southwest Airlines,2018,4451
Southwest Airlines,2019,4958
Southwest Airlines,2020,3347
Southwest Airlines,2021,3741
Southwest Airlines,2022,3248
